visibility,exact_S,sampled_S,model_standard_error,shots_per_setting
0.0,0.0,0.021484375,0.03125,4096
0.05,0.14142135623730934,0.21484375,0.031230462642666695,4096
0.1,0.282842712474619,0.22412109375,0.031171777098843754,4096
0.15000000000000002,0.42426406871192845,0.39501953125,0.03107372156461147,4096
0.2,0.5656854249492378,0.56103515625,0.030935921676911456,4096
0.25,0.7071067811865475,0.6982421875,0.030757843257858637,4096
0.30000000000000004,0.8485281374238569,0.81005859375,0.03053878169639385,4096
0.35000000000000003,0.9899494936611664,0.97265625,0.03027784746105641,4096
0.4,1.1313708498984756,1.10498046875,0.029973947020704498,4096
0.45,1.2727922061357853,1.1865234375,0.02962575816540397,4096
0.5,1.4142135623730947,1.46630859375,0.029231698334171417,4096
0.55,1.5556349186104044,1.5283203125,0.028789884019825438,4096
0.6000000000000001,1.6970562748477138,1.72265625,0.02829807855667943,4096
0.65,1.8384776310850235,1.865234375,0.027753624481768144,4096
0.7000000000000001,1.9798989873223327,1.958984375,0.027153354995285574,4096
0.75,2.121320343559642,2.10888671875,0.026493476496583082,4096
0.8,2.262741699796951,2.2998046875,0.025769410160110383,4096
0.8500000000000001,2.404163056034261,2.4111328125,0.024975574004915284,4096
0.9,2.5455844122715705,2.529296875,0.02410507596959612,4096
0.9500000000000001,2.6870057685088797,2.63525390625,0.0231492693594204,4096
1.0,2.8284271247461894,2.81884765625,0.022097086912079615,4096
