message,p_00,p_01,p_10,p_11
00,0.9999999999999996,0.0,5.004680467665246e-34,0.0
01,0.0,0.9999999999999996,0.0,5.004680467665246e-34
10,5.004680467665246e-34,0.0,0.9999999999999996,0.0
11,0.0,5.004680467665246e-34,0.0,0.9999999999999996
