input_state,alice_bits,branch_probability,fidelity
0,00,0.2499999999999999,0.9999999999999996
0,01,0.2499999999999999,0.9999999999999996
0,10,0.2499999999999999,0.9999999999999996
0,11,0.2499999999999999,0.9999999999999996
1,00,0.2499999999999999,1.0
1,01,0.2499999999999999,1.0
1,10,0.2499999999999999,1.0
1,11,0.2499999999999999,1.0
2,00,0.2499999999999999,1.0
2,01,0.24999999999999986,1.0
2,10,0.2499999999999999,1.0
2,11,0.24999999999999986,1.0
3,00,0.2499999999999999,0.9999999999999998
3,01,0.2499999999999999,0.9999999999999998
3,10,0.2499999999999999,0.9999999999999998
3,11,0.2499999999999999,0.9999999999999998
4,00,0.2499999999999999,1.0
4,01,0.2499999999999999,1.0
4,10,0.2499999999999999,1.0
4,11,0.2499999999999999,1.0
5,00,0.2499999999999999,0.9999999999999998
5,01,0.2499999999999999,0.9999999999999998
5,10,0.2499999999999999,0.9999999999999998
5,11,0.2499999999999999,0.9999999999999998
6,00,0.2499999999999999,0.9999999999999998
6,01,0.2499999999999999,0.9999999999999998
6,10,0.2499999999999999,0.9999999999999998
6,11,0.2499999999999999,0.9999999999999998
7,00,0.2499999999999999,1.0
7,01,0.24999999999999992,1.0
7,10,0.2499999999999999,1.0
7,11,0.24999999999999992,1.0
8,00,0.24999999999999994,1.0
8,01,0.2499999999999999,1.0
8,10,0.24999999999999994,1.0
8,11,0.2499999999999999,1.0
9,00,0.2499999999999999,0.9999999999999998
9,01,0.2499999999999999,0.9999999999999998
9,10,0.2499999999999999,0.9999999999999998
9,11,0.2499999999999999,0.9999999999999998
10,00,0.2499999999999999,0.9999999999999998
10,01,0.24999999999999986,1.0
10,10,0.2499999999999999,0.9999999999999998
10,11,0.24999999999999986,1.0
11,00,0.2499999999999999,0.9999999999999998
11,01,0.2499999999999999,0.9999999999999998
11,10,0.2499999999999999,0.9999999999999998
11,11,0.2499999999999999,0.9999999999999998
12,00,0.2499999999999999,0.9999999999999998
12,01,0.24999999999999983,1.0
12,10,0.2499999999999999,0.9999999999999998
12,11,0.24999999999999983,1.0
13,00,0.24999999999999992,1.0
13,01,0.24999999999999992,1.0
13,10,0.24999999999999992,1.0
13,11,0.24999999999999992,1.0
14,00,0.24999999999999983,0.9999999999999998
14,01,0.24999999999999983,0.9999999999999998
14,10,0.24999999999999983,0.9999999999999998
14,11,0.24999999999999983,0.9999999999999998
15,00,0.24999999999999997,1.0000000000000004
15,01,0.25,1.0
15,10,0.24999999999999997,1.0000000000000004
15,11,0.25,1.0
16,00,0.24999999999999994,1.0000000000000004
16,01,0.25,1.0
